tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,jenis_kelamin,usia,jumlah
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,<15,1
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,15-19,4
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,20-24,98
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,25-29,415
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,30-34,552
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,35-39,691
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,40-44,603
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,45-49,478
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,50-54,483
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,55-59,356
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,60-64,246
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,65-69,135
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,70-75,92
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,LAKI-LAKI,>75,52
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,15-19,1
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,20-24,65
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,25-29,310
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,30-34,423
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,35-39,479
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,40-44,450
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,45-49,366
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,50-54,344
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,55-59,223
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,60-64,155
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,65-69,100
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,70-75,86
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,LAKI-LAKI,>75,53
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,<15,4
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,15-19,59
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,20-24,464
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,25-29,1547
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,30-34,2650
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,35-39,3260
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,40-44,3317
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,45-49,3290
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,50-54,3163
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,55-59,2939
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,60-64,2237
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,65-69,1576
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,70-75,1149
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,LAKI-LAKI,>75,966
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,<15,7
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,15-19,75
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,20-24,444
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,25-29,1689
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,30-34,3105
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,35-39,4442
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,40-44,4561
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,45-49,4374
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,50-54,4153
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,55-59,3828
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,60-64,2825
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,65-69,2105
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,70-75,1491
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,LAKI-LAKI,>75,1217
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,<15,26
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,15-19,174
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,20-24,1124
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,25-29,4294
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,30-34,7156
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,35-39,9442
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,40-44,9701
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,45-49,9377
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,50-54,8815
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,55-59,6628
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,60-64,4540
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,65-69,3050
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,70-75,2034
2020,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,LAKI-LAKI,>75,1756
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,<15,6
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,15-19,79
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,20-24,544
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,25-29,2061
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,30-34,3737
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,35-39,4672
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,40-44,4575
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,45-49,4222
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,50-54,3924
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,55-59,3483
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,60-64,2562
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,65-69,1738
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,70-75,1171
2020,DKI JAKARTA,JAKARTA PUSAT,S E N E N,LAKI-LAKI,>75,892
2020,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,LAKI-LAKI,<15,6
